SPECIAL EVENTS CALENDAR 2017,,,,,,,,
,,,,,,,,
UPDATED 28 February 2017,,,,,,,,
,,,,,,,,Buses booked
Day,Date,Type,Event,Kick off,Vehicle Requirement,Tacho,Comments,out by
,,,,,,,,
Mon,160117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Mon,160117,GWR Rail Repl,Reading and Newbury,,SD High Back Seats,No,Duty 9730 7485A 2129 - 0036,Night Chargehand
Tues,170117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Tues,170117,GWR Rail Repl,Reading and Newbury,,SD High Back Seats,No,Duty 9730 7485A 2129 - 0036,Night Chargehand
Wed,180117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Wed,180117,GWR Rail Repl,Reading and Newbury,,SD High Back Seats,No,Duty 9730 7485A 2129 - 0036,Night Chargehand
Thurs,190117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Thurs,190117,GWR Rail Repl,Reading and Newbury,,SD High Back Seats,No,Duty 9730 7485A 2129 - 0036,Night Chargehand
Fri,200117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Sat,210117,Rugby Cup R6,Ospreys Premiership,1400,6 x DD,No,,Control
Sat ,210117,GWR Rail Repl,Twyford and,,SD High Back Seats,No,Duty 9730 46A 2329 - 0155,Night Chargehand
,,,Reading,,SD High Back Seats,No,Duty 9731 49A 2349 - 0305,Night Chargehand
Sun,220117,SWT Rail Repl,Hampton Court and,,Streetlite,No,Duty 9730 428A 0755 - 1630 Break 1155-1249,Night Chargehand
,,,Clapham Junction,,Ferry Vehicle,No,Duty 9731 428B 1400 - 0055 Breaks 1530-1619 & 1855-1949,Night Chargehand
,,,,,Streetlite,No,Duty 9732 429A 0605 - 1700 Breaks 0855-0949 & 1225-1319,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9733 429B 1425 - 0130 Breaks 1600-1649 & 1925-2019,Night Chargehand
Mon,230117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Tues,240117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Tues,240117,Southern Rail Repl,Redhill area,,DD High Speed,No,Duty 9730 501A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,CANCELLED,,,DD High Speed,No,Duty 9731 502A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9732 511A 1225 - 0020 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9733 512A 1225 - 0020 30 minute break to be arranged,Night Chargehand
,,,,,SD High Back Seats,No,Duty 9734 503A 0425 - 1620 30 minute break to be arranged,Night Chargehand
