"","routeNo","nClaims","rank","cumPctRoutes","pctClaims","cumPctClaims"
"50","0196",3,50,0.222222222222222,0.00284090909090909,0.800189393939394
"51","019a",3,51,0.226666666666667,0.00284090909090909,0.803030303030303
"52","019c",3,52,0.231111111111111,0.00284090909090909,0.805871212121212
"53","0419",3,53,0.235555555555556,0.00284090909090909,0.808712121212121
"54","0V10",3,54,0.24,0.00284090909090909,0.81155303030303
"55","900A",3,55,0.244444444444444,0.00284090909090909,0.814393939393939
"56","Not ",3,56,0.248888888888889,0.00284090909090909,0.817234848484849
"57","0019",2,57,0.253333333333333,0.00189393939393939,0.819128787878788
"58","0028",2,58,0.257777777777778,0.00189393939393939,0.821022727272727
"59","003C",2,59,0.262222222222222,0.00189393939393939,0.822916666666667
"60","00V2",2,60,0.266666666666667,0.00189393939393939,0.824810606060606
"61","00X9",2,61,0.271111111111111,0.00189393939393939,0.826704545454545
"62","0101",2,62,0.275555555555556,0.00189393939393939,0.828598484848485
"63","011A",2,63,0.28,0.00189393939393939,0.830492424242424
"64","0163",2,64,0.284444444444444,0.00189393939393939,0.832386363636364
"65","0164",2,65,0.288888888888889,0.00189393939393939,0.834280303030303
"66","017A",2,66,0.293333333333333,0.00189393939393939,0.836174242424242
"67","017C",2,67,0.297777777777778,0.00189393939393939,0.838068181818182
"68","017N",2,68,0.302222222222222,0.00189393939393939,0.839962121212121
"69","0207",2,69,0.306666666666667,0.00189393939393939,0.841856060606061
"70","022D",2,70,0.311111111111111,0.00189393939393939,0.84375
"71","026D",2,71,0.315555555555556,0.00189393939393939,0.845643939393939
"72","033C",2,72,0.32,0.00189393939393939,0.847537878787879
"73","0418",2,73,0.324444444444444,0.00189393939393939,0.849431818181818
"74","0434",2,74,0.328888888888889,0.00189393939393939,0.851325757575758
"75","050B",2,75,0.333333333333333,0.00189393939393939,0.853219696969697
"76","053X",2,76,0.337777777777778,0.00189393939393939,0.855113636363636
"77","060F",2,77,0.342222222222222,0.00189393939393939,0.857007575757576
"78","0760",2,78,0.346666666666667,0.00189393939393939,0.858901515151515
"79","0921",2,79,0.351111111111111,0.00189393939393939,0.860795454545455
"80","Rail",2,80,0.355555555555556,0.00189393939393939,0.862689393939394
"81","0012",1,81,0.36,0.000946969696969697,0.863636363636364
"82","001E",1,82,0.364444444444444,0.000946969696969697,0.864583333333333
"83","002C",1,83,0.368888888888889,0.000946969696969697,0.865530303030303
"84","0030",1,84,0.373333333333333,0.000946969696969697,0.866477272727273
"85","003A",1,85,0.377777777777778,0.000946969696969697,0.867424242424242
"86","003D",1,86,0.382222222222222,0.000946969696969697,0.868371212121212
"87","003E",1,87,0.386666666666667,0.000946969696969697,0.869318181818182
"88","003X",1,88,0.391111111111111,0.000946969696969697,0.870265151515151
"89","0041",1,89,0.395555555555556,0.000946969696969697,0.871212121212121
"90","0046",1,90,0.4,0.000946969696969697,0.872159090909091
"91","004B",1,91,0.404444444444444,0.000946969696969697,0.873106060606061
"92","004C",1,92,0.408888888888889,0.000946969696969697,0.87405303030303
"93","0056",1,93,0.413333333333333,0.000946969696969697,0.875
"94","005A",1,94,0.417777777777778,0.000946969696969697,0.87594696969697
"95","005B",1,95,0.422222222222222,0.000946969696969697,0.876893939393939
"96","005I",1,96,0.426666666666667,0.000946969696969697,0.877840909090909
"97","005J",1,97,0.431111111111111,0.000946969696969697,0.878787878787879
"98","005L",1,98,0.435555555555556,0.000946969696969697,0.879734848484849
"99","005M",1,99,0.44,0.000946969696969697,0.880681818181818
"100","00K4",1,100,0.444444444444444,0.000946969696969697,0.881628787878788
"101","00K5",1,101,0.448888888888889,0.000946969696969697,0.882575757575758
"102","00M1",1,102,0.453333333333333,0.000946969696969697,0.883522727272727
"103","00R1",1,103,0.457777777777778,0.000946969696969697,0.884469696969697
"104","00RR",1,104,0.462222222222222,0.000946969696969697,0.885416666666667
"105","00v2",1,105,0.466666666666667,0.000946969696969697,0.886363636363636
"106","00V7",1,106,0.471111111111111,0.000946969696969697,0.887310606060606
"107","00V8",1,107,0.475555555555556,0.000946969696969697,0.888257575757576
"108","00y4",1,108,0.48,0.000946969696969697,0.889204545454545
"109","0102",1,109,0.484444444444444,0.000946969696969697,0.890151515151515
"110","0109",1,110,0.488888888888889,0.000946969696969697,0.891098484848485
"111","0111",1,111,0.493333333333333,0.000946969696969697,0.892045454545455
"112","0124",1,112,0.497777777777778,0.000946969696969697,0.892992424242424
"113","013B",1,113,0.502222222222222,0.000946969696969697,0.893939393939394
"114","013D",1,114,0.506666666666667,0.000946969696969697,0.894886363636364
"115","013R",1,115,0.511111111111111,0.000946969696969697,0.895833333333333
"116","014",1,116,0.515555555555556,0.000946969696969697,0.896780303030303
"117","0150",1,117,0.52,0.000946969696969697,0.897727272727273
"118","015B",1,118,0.524444444444444,0.000946969696969697,0.898674242424242
"119","015F",1,119,0.528888888888889,0.000946969696969697,0.899621212121212
"120","0161",1,120,0.533333333333333,0.000946969696969697,0.900568181818182
